T ( C),a,b,c,beta,Crystal group,composition
25,3.6199,9.5102,9.7023,90,Cmcm,Al1.75Ti1.25O5
50,3.6199,9.5139,9.7078,90,Cmcm,Al1.75Ti1.25O5
75,3.6194,9.5162,9.712,90,Cmcm,Al1.75Ti1.25O5
100,3.6188,9.5184,9.7158,90,Cmcm,Al1.75Ti1.25O5
125,3.6188,9.5217,9.7209,90,Cmcm,Al1.75Ti1.25O5
150,3.6182,9.5223,9.7246,90,Cmcm,Al1.75Ti1.25O5
175,3.618,9.5259,9.7295,90,Cmcm,Al1.75Ti1.25O5
200,3.6176,9.5285,9.7338,90,Cmcm,Al1.75Ti1.25O5
225,3.6173,9.5295,9.738,90,Cmcm,Al1.75Ti1.25O5
250,3.6172,9.5342,9.743,90,Cmcm,Al1.75Ti1.25O5
275,3.6169,9.5366,9.7478,90,Cmcm,Al1.75Ti1.25O5
300,3.6167,9.5383,9.7527,90,Cmcm,Al1.75Ti1.25O5
325,3.6166,9.542,9.7573,90,Cmcm,Al1.75Ti1.25O5
350,3.6167,9.5441,9.7625,90,Cmcm,Al1.75Ti1.25O5
375,3.6166,9.547,9.7667,90,Cmcm,Al1.75Ti1.25O5
400,3.6168,9.5505,9.7719,90,Cmcm,Al1.75Ti1.25O5
425,3.6168,9.5523,9.7768,90,Cmcm,Al1.75Ti1.25O5
450,3.6166,9.5554,9.7817,90,Cmcm,Al1.75Ti1.25O5
475,3.6163,9.5568,9.7861,90,Cmcm,Al1.75Ti1.25O5
500,3.6165,9.5594,9.7909,90,Cmcm,Al1.75Ti1.25O5
525,3.6162,9.5603,9.7949,90,Cmcm,Al1.75Ti1.25O5
550,3.6163,9.5616,9.7988,90,Cmcm,Al1.75Ti1.25O5
575,3.6166,9.5578,9.7993,90.049,C2/m,Al1.75Ti1.25O5
600,3.616,9.5567,9.801,90.056,C2/m,Al1.75Ti1.25O5
625,3.6159,9.5543,9.8034,90.063,C2/m,Al1.75Ti1.25O5
650,3.6159,9.553,9.8067,90.075,C2/m,Al1.75Ti1.25O5
675,3.6159,9.5557,9.8128,90.085,C2,Al1.75Ti1.25O5
700,3.6158,9.5588,9.8177,90.078,C2,Al1.75Ti1.25O5
725,3.6148,9.5621,9.823,90.07,C2,Al1.75Ti1.25O5
20,3.5875,9.4237,9.6291,90,Cmcm,Al2TiO5
520,3.5823,9.4721,9.7262,90,Cmcm,Al2TiO5
1020,3.5768,9.5339,9.8393,90,Cmcm,Al2TiO5
20,3.6174,9.8196,10.0054,90,Cmcm,Ga2TiO5
520,3.6127,9.8613,10.102,90,Cmcm,Ga2TiO5
1020,0,0,0,0,Cmcm,Ga2TiO5
20,3.7385,9.7954,9.9853,90,Cmcm,Fe2TiO5
520,3.7399,9.8434,10.0526,90,Cmcm,Fe2TiO5
1020,3.7406,9.8947,10.145,90,Cmcm,Fe2TiO5
20,3.7442,9.7363,9.987,90,Cmcm,Mg2TiO5
520,3.7486,9.7755,10.0526,90,Cmcm,Mg2TiO5
1020,3.7529,9.8418,10.145,90,Cmcm,Mg2TiO5
20,3.7771,9.9858,10.1868,90,Cmcm,MgFeNbO5
520,3.781,10.0174,10.2589,90,Cmcm,MgFeNbO5
1020,0,0,0,0,Cmcm,MgFeNbO5
