Identifier,Composition,a,b,c,alpha,beta,gamma,Comments,Clean.,Main.Phase,Tc,origin,CM
QHS1032F,SmBa0.8K0.2CuBO5,5.50195,5.50195,7.41375,90,90,90,"CuO,Ba3Sm(BO3)3",Y,Y,0,McQueen 2024,0.1381
QHS1032G,SmBa0.9K0.1CuBO5,5.50425,5.50425,7.41711,90,90,90,"CuO,Ba3Sm(BO3)3",Y,Y,0,McQueen 2024,0.1381
QHS1032H,SmBa0.95K0.05CuBO5,5.50425,5.50425,7.41711,90,90,90,"CuO,Ba3Sm(BO3)3",Y,Y,0,McQueen 2024,0.1381
,,NA,NA,NA,NA,NA,NA,,,,0,McQueen 2024,NA
QHS1042C,SmBa0.4Sr0.5K0.1CuBO5,5.45617,5.45617,7.36291,90,90,90,,,,0,McQueen 2024,0.1387
QHS1042B,SmBa0.55Sr0.35K0.1CuBO5,5.46981,5.46981,7.3782,90,90,90,,,,0,McQueen 2024,0.1385
QHS1044D,SmBa0.7Sr0.2K0.1CuBO5,5.48366,5.48366,7.39247,90,90,90,,,,0,McQueen 2024,0.1383
QHS1054D,SmBa0.5Sr0.3K0.2CuBO5,5.47679,5.47679,7.37827,90,90,90,,,,0,McQueen 2024,0.138
,,NA,NA,NA,NA,NA,NA,,,,0,McQueen 2024,NA
,,NA,NA,NA,NA,NA,NA,,,,0,McQueen 2024,NA
QHS1014B,SmBa0.8K0.2CuBO5,5.50427,5.50427,7.41716,90,90,90,,,,0,McQueen 2024,0.1381
QHS1040A,SmBa0.8K0.2CuBO5,5.49209,5.49209,7.40083,90,90,90,"CuO,Ba3Sm(BO3)3",Y,Y,0,McQueen 2024,0.1381
QHS1040B,SmBa0.9K0.1CuBO5,5.49375,5.49375,7.39864,90,90,90,"CuO,Ba3Sm(BO3)3",Y,Y,0,McQueen 2024,0.1378
QHS1040C,SmBa0.95K0.05CuBO5,5.49667,5.49667,7.4025,90,90,90,"CuO,Ba3Sm(BO3)3",Y,Y,0,McQueen 2024,0.1378
,,NA,NA,NA,NA,NA,NA,,,,0,McQueen 2024,NA
QHS1037D,NdBa0.9K0.1CuBO5,5.51289,5.51289,7.42299,90,90,90,"CuO, Ba3Nd(BO3)3",Y,,0,McQueen 2024,0.1377
QHS1046D,NdBa0.9K0.1CuBO5,5.52208,5.52208,7.43312,90,90,90,"CuO, Ba3Nd(BO3)3",Y,,0,McQueen 2024,0.1376
QHS1054A,NdBa0.8K0.2CuBO5,5.51905,5.51905,7.42875,90,90,90,"Nd2CuO4, CuO,Nd2Ba3(BO3)4",N,Y,0,McQueen 2024,0.1376
QHS1054B,NdBa0.7K0.3CuBO5,5.51875,5.51875,7.43687,90,90,90,"Nd2CuO4, CuO,Nd2Ba3(BO3)4",N,Y,0,McQueen 2024,0.1381
